Name,Age,Gender,Marital Status,Employment Type,Industry,Years with Current Employer,Education Level,CIBIL Score,Loan Type,Loan Purpose,Loan Amount Requested,Loan Tenure,Existing Loans,Loan Repayment History,DTI Ratio,Credit Utilization Ratio,Credit Card Payment Behavior,Monthly Income,Income Stability,Total Savings & Deposits,Bank Account Activity,Large Transactions Before Loan,Number of Credit Cards,Total Credit Limit,Utility & Rent Payments History,Fraud
Christina Burke,30,Female,Divorced,Salaried,Finance,11,High School,467,Personal Loan,Debt Consolidation,450046,48,0,Average,0.19,0.7,Late Payments,179563,Unstable,42550,Moderate,0,3,404596,On-Time,0
Samantha Harris,50,Male,Single,Self-Employed,Finance,1,Masters,462,Car Loan,Car Repair,433894,36,2,Average,0.7,0.23,Late Payments,46258,Unstable,360017,High,0,1,320415,On-Time,0
Patricia Thompson,33,Male,Divorced,Unemployed,IT,4,Bachelors,309,Home Loan,Property Investment,369330,84,2,Poor,0.89,0.27,Missed Payments,47991,Unstable,145654,High,0,3,138797,Missed Payments,1
Christopher Martinez,28,Male,Divorced,Salaried,IT,5,PhD,881,Personal Loan,Vacation,265547,96,3,Good,0.25,0.24,On-Time,128802,Unstable,156490,Moderate,0,1,248014,Late Payments,0
Mrs. Misty Stanley,60,Male,Married,Salaried,Manufacturing,17,High School,594,Personal Loan,Debt Consolidation,329637,36,2,Poor,0.39,0.35,Late Payments,35421,Unstable,139829,Low,0,4,333866,Late Payments,0
Chris Thompson,58,Female,Divorced,Self-Employed,Finance,19,Masters,460,Business Loan,Business Expansion,478490,96,2,Good,0.3,0.37,Late Payments,82557,Stable,466764,Low,0,1,330939,On-Time,0
Thomas Walters,53,Female,Married,Self-Employed,Manufacturing,16,High School,493,Business Loan,Business Expansion,218920,72,0,Poor,0.71,0.5,Missed Payments,114456,Stable,124210,Moderate,0,1,225638,Missed Payments,1
Kristin Simpson,30,Male,Divorced,Self-Employed,IT,14,High School,623,Home Loan,Buying a House,107587,48,3,Good,0.45,0.98,Late Payments,127192,Unstable,71190,Moderate,1,1,213378,On-Time,0
Caleb Mccoy,47,Male,Married,Unemployed,Manufacturing,19,PhD,519,Home Loan,Property Investment,176498,36,3,Average,0.57,0.77,Missed Payments,31877,Stable,261385,High,0,2,211325,On-Time,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Rebecca Lee,60,Male,Divorced,Salaried,Manufacturing,15,PhD,777,Home Loan,Property Investment,384725,72,2,Good,0.72,0.84,Missed Payments,191152,Stable,357615,High,0,3,249558,On-Time,0
Dana Stewart,60,Male,Single,Self-Employed,Manufacturing,8,PhD,863,Business Loan,Working Capital,376846,84,4,Poor,0.31,0.92,On-Time,152797,Unstable,14672,High,1,1,283293,Late Payments,0
Ricky Johnson,37,Female,Divorced,Self-Employed,Education,17,High School,627,Business Loan,Working Capital,132874,96,1,Average,0.55,0.98,Missed Payments,79458,Stable,89092,High,0,3,65539,Missed Payments,0
Beth Davis,50,Male,Single,Unemployed,Manufacturing,12,Bachelors,719,Car Loan,Car Repair,34229,12,4,Poor,0.38,0.72,On-Time,174126,Stable,484898,Low,1,3,288069,Late Payments,0
Brian Rivera,35,Male,Divorced,Self-Employed,Education,14,PhD,817,Business Loan,Business Expansion,399194,96,4,Good,0.35,0.15,On-Time,141467,Stable,58993,Low,1,3,327430,Late Payments,0
David Dennis,62,Female,Single,Self-Employed,Education,14,Bachelors,641,Personal Loan,Medical Emergency,253308,12,0,Average,0.76,0.23,Late Payments,58642,Stable,57027,Moderate,1,3,295478,On-Time,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Ruth Neal,31,Male,Divorced,Salaried,Finance,10,Bachelors,627,Home Loan,Property Investment,476003,72,2,Average,0.69,0.97,On-Time,105801,Stable,476954,Low,1,3,273138,Late Payments,0
Claire Porter,48,Female,Married,Salaried,Manufacturing,19,PhD,843,Business Loan,Equipment Purchase,247624,12,1,Poor,0.85,0.17,Missed Payments,152687,Unstable,193793,Moderate,1,1,345764,Missed Payments,0
Taylor Nguyen,23,Male,Divorced,Salaried,Healthcare,19,Masters,867,Business Loan,Working Capital,212352,72,4,Good,0.35,0.62,On-Time,158674,Stable,289762,Low,0,3,288487,On-Time,0
Lisa Davenport,26,Male,Married,Unemployed,IT,6,PhD,473,Home Loan,Home Renovation,251741,72,3,Average,0.87,0.71,On-Time,45054,Stable,407666,Moderate,1,3,270550,On-Time,0
Juan Hughes,33,Female,Married,Salaried,Education,3,Masters,618,Home Loan,Home Renovation,133551,96,0,Poor,0.55,0.12,Late Payments,51164,Unstable,130796,High,0,3,496949,On-Time,0
Kerry Sutton,23,Female,Divorced,Self-Employed,Education,7,High School,528,Business Loan,Working Capital,170114,48,2,Good,0.57,0.35,On-Time,113583,Stable,36033,Moderate,0,3,239468,Missed Payments,0
Garrett Morrison,67,Female,Single,Unemployed,Healthcare,11,Masters,524,Home Loan,Home Renovation,254252,72,2,Average,0.64,0.43,Missed Payments,83873,Stable,97060,Moderate,0,2,89503,Late Payments,0
Tara Ramos,63,Male,Divorced,Unemployed,IT,8,High School,654,Business Loan,Working Capital,296863,84,3,Average,0.73,0.79,Late Payments,190904,Stable,496224,High,0,1,293652,Missed Payments,0
Becky Petersen,34,Female,Divorced,Unemployed,IT,7,High School,773,Business Loan,Equipment Purchase,347583,84,1,Good,0.68,0.4,On-Time,145948,Unstable,348068,High,0,1,63407,On-Time,0
Teresa Banks,48,Female,Single,Self-Employed,Finance,9,High School,322,Personal Loan,Debt Consolidation,78553,36,4,Poor,0.88,0.77,Missed Payments,107084,Unstable,366432,Low,1,4,87741,Missed Payments,1
Tiffany Mcbride,22,Male,Divorced,Self-Employed,Manufacturing,17,Masters,310,Home Loan,Property Investment,285407,36,3,Average,0.55,0.48,On-Time,197463,Unstable,358168,Low,1,1,55375,Missed Payments,0
Carolyn Young,50,Female,Single,Self-Employed,Education,14,PhD,840,Personal Loan,Wedding,274567,36,0,Good,0.32,0.22,On-Time,55976,Unstable,284229,High,1,4,201378,Missed Payments,0
Patricia Davis,20,Male,Married,Salaried,Education,13,Masters,372,Car Loan,Car Repair,403333,24,2,Average,0.53,0.8,Late Payments,197513,Unstable,365755,Moderate,1,3,290761,Missed Payments,0
Jessica Foster,46,Male,Single,Unemployed,Manufacturing,14,Masters,404,Personal Loan,Debt Consolidation,191533,12,4,Poor,0.8,0.4,Missed Payments,143256,Stable,372855,High,1,3,139975,Missed Payments,1
Spencer Norton,58,Female,Divorced,Salaried,Finance,5,Bachelors,862,Car Loan,Car Repair,183670,36,1,Average,0.65,0.82,On-Time,100826,Unstable,96155,Moderate,0,3,467349,Late Payments,0
Andrew Gilmore,51,Female,Single,Salaried,Manufacturing,14,Bachelors,769,Car Loan,Vehicle Purchase,135942,84,0,Poor,0.53,0.88,Late Payments,58236,Stable,233400,High,1,4,172058,Missed Payments,0
Natalie Perry,36,Male,Married,Salaried,IT,2,Masters,536,Business Loan,Business Expansion,244446,60,3,Poor,0.48,0.74,Missed Payments,23361,Stable,227056,Low,1,4,141644,Late Payments,0
Mr. John Hall MD,66,Female,Married,Self-Employed,Finance,8,PhD,570,Personal Loan,Debt Consolidation,475241,84,0,Good,0.71,0.48,Missed Payments,127579,Unstable,439235,High,0,3,66126,On-Time,0
Wayne Duffy,34,Male,Divorced,Unemployed,Education,13,High School,608,Business Loan,Equipment Purchase,7441,84,3,Good,0.25,0.29,Missed Payments,186062,Stable,366005,High,0,1,317352,On-Time,0
