CustomerID,FirstName,LastName,Gender,Email,Phone,Age,City,Country,CurrentBalance,Currency,TotalTransactions,TotalDeposits,TotalWithdrawals,AverageTransactionAmount,TotalCashback,LastTransactionDate,PreferredContactMethod,AverageMonthlySpending,HighestTransactionAmount,LowestTransactionAmount,TotalNumberOfAccounts,AccountStatus,DepositStatus,LoanStatus,InternationalTransactionIndicator,VATUserStatus,TotalVATRefundAmount,DeviceModel,AppVersion,RecentActivityFlag,PreferredLanguage,Delivery,PlasticCard,RiskProfile
TeresaPerez0,Teresa,Perez,Female,dustin50@example.org,001-225-838-8752x26394,37,San Antonio,United States,40233.08,USD,820,18373.58,27705.35,799.46,89.28,2024-09-26,SMS,2525.46,7765.16,16.18,5,Active,Yes,No,252,No,454.55,iPhone 13,v4.2,Yes,English,178.9,Visa Platinum,Low
LaurieHale1,Laurie,Hale,Female,hcampbell@example.com,(346)463-4199x3926,77,Houston,United States,17811.43,USD,233,6034.57,23792.68,805.79,445.45,2024-05-13,Phone,3446.42,1760.28,36.57,1,Dormant,No,No,87,Yes,937.62,Vivo Y27s,v3.5,No,English,178.15,Visa Platinum,Low
AntonioWalker2,Antonio,Walker,Male,tcampbell@example.net,840-623-2416,31,Phoenix,United States,43888.61,EUR,781,12287.12,3434.34,913.73,161.81,2025-03-10,SMS,360.97,7276.57,45.58,5,Dormant,Yes,Yes,36,No,977.58,Samsung Galaxy S21,v1.3,Yes,French,241.98,Discover,Medium
JosephReed3,Joseph,Reed,Male,jean75@example.com,+1-642-242-9043x02311,38,San Antonio,United States,40936.85,EUR,696,29754.97,1922.79,114.72,431.88,2025-02-19,Email,4666.81,3604.66,18.38,1,Dormant,Yes,No,84,No,328.5,MI 8,v1.8,Yes,English,409.89,Diners Club,High
JamesWilson4,James,Wilson,Male,harrisfrancisco@example.com,995.872.8004x88863,34,San Antonio,United States,5377.64,USD,846,29413.16,25603.36,449.63,493.39,2025-02-20,SMS,2303.04,8144.27,42.51,5,Dormant,Yes,No,386,Yes,421.43,Pixel 9,v5.5,Yes,Spanish,122.38,Visa Platinum,Medium
BrianMurray5,Brian,Murray,Male,cunninghamjuan@example.org,(929)312-4011,68,Jacksonville,United States,43874.79,EUR,627,44163.5,38255.08,666.37,104.76,2025-02-14,Phone,3534.37,1643.81,17.48,5,Dormant,No,Yes,232,Yes,334.51,Redmi Note 7,v4.6,No,Spanish,655.7,Discover,Medium
KristopherHernandez6,Kristopher,Hernandez,Male,qfisher@example.net,5042474931,40,Phoenix,United States,20768.04,USD,454,16932.42,9809.07,138.09,78.23,2024-03-18,Phone,430.66,9573.29,47.84,2,Active,Yes,No,213,No,495.89,Redmi Note 7,v5.1,Yes,English,325.66,JCB,Medium
MichelleSullivan7,Michelle,Sullivan,Female,elizabethmorgan@example.net,364-579-2068,68,Dallas,United States,11987.35,USD,364,46843.2,42433.71,194.57,477.81,2025-02-19,Phone,1900.52,4164.26,20.62,5,Dormant,Yes,No,0,Yes,489.63,Vivo Y27s,v2.1,Yes,English,583.79,Visa Electron,Medium
KevinJones8,Kevin,Jones,Male,amandarogers@example.org,(517)775-7168x13487,34,San Jose,United States,13638.35,USD,20,22110.84,7810.74,456.4,249.1,2024-11-28,Phone,3941.91,1246.01,21.97,3,Active,Yes,No,2,Yes,691.37,MI 8,v2.7,No,French,518.81,Visa Electron,Low
JesseWilliams9,Jesse,Williams,Male,jennysmall@example.net,001-342-343-9814x4489,41,Chicago,United States,15967.42,EUR,386,33955.89,42043.33,527.95,178.08,2024-05-20,Phone,490.15,4266.38,42.82,2,Active,Yes,No,25,Yes,690.19,Redmi Note 7,v2.1,No,English,156.27,Diners Club,Medium
TravisRangel10,Travis,Rangel,Male,glennmichael@example.com,001-387-656-8295x75494,19,San Diego,United States,2689.41,EUR,26,45347.28,26726.29,553.55,482.24,2024-12-16,Email,196.32,4659.7,31.39,4,Dormant,Yes,No,4,No,623.09,Pixel 8,v3.4,Yes,English,977.68,JCB,Low
JohnWood11,John,Wood,Male,alexanderphilip@example.com,216.445.0973x515,76,Dallas,United States,29287.41,USD,649,46210.97,22697.12,57.41,144.73,2025-02-15,Email,4783.63,4862.12,8.06,4,Active,Yes,Yes,201,No,736.08,iPhone 15,v5.1,No,English,342.92,Business Card,Medium
ReginaJohnson12,Regina,Johnson,Female,randy85@example.com,511.834.5549,69,San Diego,United States,19569.19,USD,907,40440.42,22377.39,291.6,320.6,2024-04-28,Phone,3666.5,4875.84,29.79,5,Active,No,Yes,286,No,417.53,Vivo Y27s,v3.4,Yes,English,710.63,Diners Club,High
JordanPeterson13,Jordan,Peterson,Female,bruce78@example.org,254-987-7308x3383,56,Los Angeles,United States,1799.26,EUR,779,3863.38,27085.45,806.26,387.75,2024-12-31,Email,1396.33,5365.42,10.87,5,Active,No,No,297,Yes,833.7,iPhone 13,v4.0,Yes,English,773.0,Diners Club,Medium
DarrenWebb14,Darren,Webb,Male,millerelizabeth@example.org,924.259.9073x83275,79,New York,United States,43836.05,USD,662,2542.21,30388.52,443.14,40.31,2024-05-02,Email,2486.85,3888.59,14.72,2,Active,No,Yes,331,No,923.04,Pixel 8,v4.6,Yes,English,201.56,Prepaid Card,High
JeffreyBrown15,Jeffrey,Brown,Male,njones@example.org,581.835.6100,42,Dallas,United States,29760.94,EUR,110,25332.66,9049.36,869.69,303.29,2024-03-25,SMS,4250.97,7194.37,11.39,5,Dormant,Yes,Yes,30,Yes,968.15,iPhone 13,v4.5,No,English,240.61,JCB,Medium
ArthurMatthews16,Arthur,Matthews,Male,waynebrown@example.org,+1-696-512-4054x453,58,New York,United States,41947.0,USD,264,3726.22,11830.58,380.83,325.65,2024-10-26,Email,1861.08,4601.65,42.83,4,Dormant,No,No,89,Yes,243.63,Redmi Note 7,v1.1,Yes,English,190.68,MasterCard Platinum,Medium
JeffreyRivas17,Jeffrey,Rivas,Male,nfields@example.net,+1-458-679-7723x7689,23,San Antonio,United States,12878.29,USD,247,43781.28,14697.05,232.68,157.68,2024-11-18,Phone,491.01,6584.86,30.37,3,Dormant,Yes,Yes,99,No,850.51,Redmi Note 7,v5.4,Yes,English,144.76,Maestro,Medium
KelseyKing18,Kelsey,King,Female,vray@example.org,615.603.7306,59,Houston,United States,37652.05,USD,222,43925.82,15570.74,973.1,362.25,2024-07-27,Phone,3354.31,1079.27,35.96,4,Active,Yes,Yes,40,Yes,789.68,MI 8,v2.2,No,Spanish,727.75,Salary Card,Low
JoseLe19,Jose,Le,Male,cassandra03@example.com,+1-734-367-5054x360,46,San Diego,United States,47398.87,USD,691,31553.08,20335.46,438.93,135.82,2025-03-14,Phone,4132.35,2368.82,44.27,5,Dormant,Yes,Yes,154,Yes,19.66,iPhone 15,v1.5,Yes,English,473.79,Salary Card,Low
JohnSimpson20,John,Simpson,Male,gonzalezjames@example.com,3215717365,24,Philadelphia,United States,21141.17,EUR,322,49285.26,16955.22,14.37,339.78,2024-06-23,Phone,2144.04,3721.8,40.15,5,Dormant,Yes,Yes,43,Yes,445.85,MI 8,v2.6,Yes,English,296.78,JCB,Low
MichaelHill21,Michael,Hill,Male,courtney84@example.net,544.301.4618x4410,20,Austin,United States,13222.36,EUR,212,25218.48,20605.06,880.46,210.09,2024-08-01,SMS,4504.3,7296.65,27.81,4,Active,No,No,105,Yes,902.58,MI 8,v4.0,Yes,Spanish,194.49,Salary Card,Medium
JamesWoodard22,James,Woodard,Male,wrightamy@example.com,+1-212-358-9656x41272,61,Los Angeles,United States,18121.1,EUR,525,30301.12,42730.61,876.24,39.15,2024-04-23,Email,3014.58,5798.42,43.94,3,Active,No,No,159,Yes,880.46,Huawei P30,v3.7,Yes,English,337.64,Visa Classic,Low
SabrinaSmith23,Sabrina,Smith,Female,bennettgeorge@example.org,968.440.7509x6004,27,Jacksonville,United States,16316.87,EUR,60,6963.96,19393.73,508.84,61.52,2024-10-26,SMS,818.06,5531.11,24.82,2,Dormant,No,No,22,No,667.43,Huawei P30,v4.3,No,English,36.53,MasterCard Standard,High
VictorEvans24,Victor,Evans,Male,andersonjoy@example.org,627-978-8532x111,27,New York,United States,43605.1,EUR,20,45078.52,16167.6,478.21,15.87,2024-04-13,SMS,2301.2,7760.22,9.24,5,Dormant,No,Yes,0,Yes,89.73,Pixel 8,v4.5,Yes,French,767.65,Salary Card,Low
JeremyOsborne25,Jeremy,Osborne,Male,butlerdaniel@example.org,(550)882-4559,62,Houston,United States,10369.58,EUR,504,17554.86,3195.94,508.97,26.94,2024-10-21,Email,2257.39,7616.51,28.56,3,Dormant,Yes,No,77,No,162.13,Pixel 9,v1.0,Yes,English,293.78,Salary Card,Medium
NicoleDalton26,Nicole,Dalton,Female,rebecca29@example.org,999-752-7169x0029,31,San Antonio,United States,18166.87,EUR,442,32441.62,25107.1,580.2,154.3,2024-06-14,Email,2006.44,3241.54,45.39,3,Dormant,Yes,Yes,33,Yes,418.53,Redmi Note 7,v3.8,Yes,English,443.73,Business Card,Medium
NicholasOneill27,Nicholas,Oneill,Male,jason89@example.net,238-986-7872x326,72,San Jose,United States,35445.98,EUR,603,22714.25,43142.92,962.61,25.19,2025-01-26,Email,2233.09,2021.74,35.07,2,Dormant,Yes,No,158,No,864.61,Pixel 8,v2.7,No,English,390.64,Salary Card,Low
SarahSmith28,Sarah,Smith,Female,fsimon@example.com,001-934-464-9105x0408,43,San Antonio,United States,27875.39,USD,290,37889.26,21849.8,678.23,86.29,2024-10-09,Email,4673.25,4343.76,38.68,1,Dormant,Yes,Yes,43,No,155.43,Samsung Galaxy S21,v3.2,Yes,English,473.14,Diners Club,Low
JustinChase29,Justin,Chase,Male,jamesmarshall@example.net,3553922380,21,Houston,United States,37869.09,EUR,106,41083.67,34276.25,269.69,341.16,2025-01-04,Email,1826.06,1082.85,20.1,2,Dormant,No,Yes,53,No,563.86,iPhone 15,v4.2,Yes,English,85.15,MasterCard Platinum,Medium
CrystalMurray30,Crystal,Murray,Female,fredericksmith@example.com,922.493.9021,74,San Jose,United States,47785.16,EUR,932,36235.37,29536.29,606.96,287.48,2024-12-03,Phone,1213.31,6853.4,15.58,1,Active,Yes,Yes,239,Yes,54.0,iPhone 15,v3.3,No,English,776.11,Visa Classic,Medium
ZacharyKeith31,Zachary,Keith,Male,theresa92@example.net,001-256-506-9776,78,San Diego,United States,19996.77,EUR,176,38718.41,19545.21,901.13,220.62,2025-03-02,SMS,3882.74,9638.13,8.57,2,Active,Yes,Yes,15,No,397.77,iPhone 15,v5.5,No,English,331.72,Maestro,Medium
LauraVilla32,Laura,Villa,Female,grantburke@example.net,807.834.9853x48034,50,Philadelphia,United States,7866.2,USD,200,37468.13,13194.34,781.53,227.77,2024-05-12,SMS,4637.83,4874.86,48.74,5,Active,Yes,No,36,Yes,111.53,Redmi Note 7,v1.7,Yes,English,83.83,UnionPay,Medium
SamanthaPerez33,Samantha,Perez,Female,phillipsjonathan@example.org,882.720.3497x6983,40,Los Angeles,United States,24197.0,EUR,928,19977.65,23933.96,704.26,325.32,2025-02-24,Phone,4054.18,6195.0,5.99,2,Active,No,No,225,No,232.84,Pixel 9,v4.8,Yes,English,300.32,MasterCard Gold,Low
ChristineDelacruz34,Christine,Delacruz,Female,sanchezheather@example.com,984.892.5471,26,Phoenix,United States,47262.56,USD,376,35436.81,33111.73,431.58,228.15,2024-12-24,SMS,2950.1,6630.08,2.45,3,Active,No,No,133,No,896.85,Samsung Galaxy S21,v4.3,No,Spanish,848.79,Visa Platinum,Medium
ElizabethGomez35,Elizabeth,Gomez,Female,newtonjoe@example.com,(294)681-8295x066,38,New York,United States,3943.63,USD,303,11097.16,44611.11,288.25,255.6,2024-06-06,Email,1446.62,5760.1,29.84,1,Active,Yes,Yes,23,No,421.66,Vivo Y27s,v4.6,No,English,965.26,Maestro,Medium
MatthewBrown36,Matthew,Brown,Male,victoriaheath@example.com,001-613-892-5890,64,San Antonio,United States,5023.82,EUR,802,22694.65,20325.38,715.79,110.35,2025-01-22,SMS,3022.62,9194.16,6.08,3,Active,No,Yes,86,Yes,81.01,iPhone 15,v5.2,Yes,English,365.5,Salary Card,Low
FrederickFrench37,Frederick,French,Male,yoliver@example.org,9367171239,64,Jacksonville,United States,47570.89,EUR,893,46755.7,33786.51,480.64,18.19,2024-08-22,Phone,3584.93,9374.55,3.55,4,Active,Yes,Yes,273,No,854.31,Samsung Galaxy S21,v5.1,No,English,275.02,Salary Card,Medium
KimberlyBlack38,Kimberly,Black,Female,abigailsmith@example.org,(924)943-9782,77,Austin,United States,2019.24,EUR,504,16671.77,16667.47,316.71,347.52,2024-10-14,SMS,3755.7,6960.0,6.4,3,Dormant,Yes,Yes,42,No,912.9,Pixel 9,v3.0,Yes,French,617.52,MasterCard Platinum,Low
DanielJohnson39,Daniel,Johnson,Male,tarawalton@example.net,621-349-4245x86667,38,Jacksonville,United States,17158.26,USD,880,41442.55,9186.04,579.08,476.94,2024-06-01,SMS,2166.12,8643.43,10.09,4,Active,Yes,Yes,233,Yes,953.72,Redmi Note 7,v2.3,No,English,133.54,JCB,Medium
RebeccaPatrick40,Rebecca,Patrick,Female,kelli46@example.com,2112256747,46,Dallas,United States,45994.0,USD,36,25609.03,41902.27,78.36,415.38,2024-04-05,Phone,4163.63,8990.37,15.41,3,Dormant,Yes,No,3,Yes,337.36,Pixel 9,v5.5,No,English,972.65,Maestro,Low
SeanRodriguez41,Sean,Rodriguez,Male,alexandralee@example.com,001-609-234-3053,40,Austin,United States,26894.67,USD,749,39908.87,12069.87,385.54,255.17,2024-08-13,Email,3981.62,2980.9,39.66,2,Dormant,No,Yes,196,Yes,722.96,MI 8,v2.5,No,French,22.3,Business Card,Low
MarilynPatel42,Marilyn,Patel,Female,aaron99@example.com,+1-880-609-6403x146,75,Jacksonville,United States,12626.25,USD,976,21948.41,19394.76,243.27,149.47,2024-09-24,SMS,3192.15,2476.23,46.34,1,Active,No,Yes,344,No,35.67,Redmi Note 7,v2.8,Yes,English,665.9,Salary Card,Medium
MelissaKhan43,Melissa,Khan,Female,anna86@example.org,3909804414,48,Dallas,United States,30707.38,EUR,214,23755.92,7639.74,335.14,127.73,2024-11-12,Email,2985.24,7729.86,26.33,5,Active,No,No,88,No,547.62,MI 8,v3.0,No,English,410.35,Salary Card,Medium
KendraMckee44,Kendra,Mckee,Female,vanderson@example.org,999-907-1717x35445,19,Dallas,United States,26645.03,USD,832,32632.59,14885.53,817.15,105.27,2024-07-16,SMS,3551.74,6199.46,20.78,1,Active,No,Yes,11,Yes,371.91,iPhone 13,v1.8,No,Spanish,659.18,American Express,Low
